CNN,Training image count,Noise addition,Label count,Epoch count,Loss,Accuracy
Fashion-MNIST,20000,0,5,33,0.0381,0.9876
Fashion-MNIST,20000,0,5,34,0.0351,0.9893
Fashion-MNIST,20000,0,5,35,0.0438,0.9867
Fashion-MNIST,20000,0,5,36,0.0341,0.9886
Fashion-MNIST,20000,0,5,37,0.0304,0.9895
Fashion-MNIST,20000,0,5,38,0.0352,0.9896
Fashion-MNIST,20000,0,5,39,0.0294,0.9909
Fashion-MNIST,20000,0,5,40,0.0316,0.9904
Fashion-MNIST,20000,0,5,41,0.0297,0.9909
Fashion-MNIST,20000,0,5,42,0.0292,0.9892
Fashion-MNIST,20000,0,5,43,0.0309,0.9896
Fashion-MNIST,20000,0,5,44,0.0296,0.9907
Fashion-MNIST,20000,0,5,45,0.0288,0.9914
Fashion-MNIST,20000,0,5,46,0.0294,0.9909
Fashion-MNIST,20000,0,5,47,0.0311,0.99
Fashion-MNIST,20000,0,5,48,0.0259,0.9922
Fashion-MNIST,20000,0,5,49,0.0275,0.9903
Fashion-MNIST,20000,0,5,50,0.0327,0.989
Fashion-MNIST,20000,0,5,51,0.0331,0.9893
Fashion-MNIST,20000,0,5,52,0.0301,0.9901
Fashion-MNIST,20000,0,5,53,0.0322,0.9892
Fashion-MNIST,20000,0,5,54,0.0286,0.9911
Fashion-MNIST,20000,0,5,55,0.032,0.9891
Fashion-MNIST,20000,0,5,56,0.031,0.9893
Fashion-MNIST,20000,0,5,57,0.0281,0.9907
Fashion-MNIST,20000,0,5,58,0.0241,0.992
Fashion-MNIST,20000,0,5,59,0.028,0.9914
Fashion-MNIST,20000,0,5,60,0.0256,0.9914
Fashion-MNIST,20000,0,5,61,0.0271,0.9909
Fashion-MNIST,20000,0,5,62,0.0263,0.9909
Fashion-MNIST,20000,0,5,63,0.0213,0.9931
Fashion-MNIST,20000,0,5,64,0.0263,0.9908
Fashion-MNIST,20000,0,5,65,0.0255,0.9911
Fashion-MNIST,20000,0,5,66,0.0222,0.9924
Fashion-MNIST,20000,0,5,67,0.0248,0.9917
Fashion-MNIST,20000,0,5,68,0.0248,0.9921
Fashion-MNIST,20000,0,5,69,0.0233,0.9919
Fashion-MNIST,20000,0,5,70,0.0275,0.9921
Fashion-MNIST,20000,0,5,71,0.0272,0.9916
Fashion-MNIST,20000,0,5,72,0.0201,0.9934
Fashion-MNIST,20000,0,5,73,0.0246,0.9914
Fashion-MNIST,20000,0,5,74,0.0249,0.993
Fashion-MNIST,20000,0,5,75,0.0241,0.9928
Fashion-MNIST,20000,0,5,76,0.023,0.9924
Fashion-MNIST,20000,0,5,77,0.0258,0.9918
Fashion-MNIST,20000,0,5,78,0.0239,0.9921
Fashion-MNIST,20000,0,5,79,0.0205,0.9928
Fashion-MNIST,20000,0,5,80,0.0255,0.9911
Fashion-MNIST,20000,0,5,81,0.0256,0.9912
Fashion-MNIST,20000,0,5,82,0.0252,0.9913
Fashion-MNIST,20000,0,5,83,0.0224,0.9921
Fashion-MNIST,20000,0,5,84,0.0248,0.991
Fashion-MNIST,20000,0,5,85,0.0187,0.9931
Fashion-MNIST,20000,0,5,86,0.0234,0.9918
Fashion-MNIST,20000,0,5,87,0.0253,0.9909
Fashion-MNIST,20000,0,5,88,0.0253,0.9926
Fashion-MNIST,20000,0,5,89,0.0233,0.9931
Fashion-MNIST,20000,0,5,90,0.0244,0.9924
Fashion-MNIST,20000,0,5,91,0.0251,0.9916
Fashion-MNIST,20000,0,5,92,0.0244,0.992
Fashion-MNIST,20000,0,5,93,0.0242,0.9913
Fashion-MNIST,20000,0,5,94,0.0231,0.9924
Fashion-MNIST,20000,0,5,95,0.0309,0.9897
Fashion-MNIST,20000,0,5,96,0.0243,0.9926
Fashion-MNIST,20000,0,5,97,0.0255,0.9912
Fashion-MNIST,20000,0,5,98,0.0238,0.9928
Fashion-MNIST,20000,0,5,99,0.0215,0.9925
Fashion-MNIST,20000,0,5,100,0.0282,0.9905
Fashion-MNIST,20000,1,2,1,0.0395,0.991
Fashion-MNIST,20000,1,2,2,0.0028,0.9997
Fashion-MNIST,20000,1,2,3,0.0028,0.9992
Fashion-MNIST,20000,1,2,4,0.0031,0.9992
Fashion-MNIST,20000,1,2,5,8.96E-04,0.9998
Fashion-MNIST,20000,1,2,6,6.07E-04,0.9998
Fashion-MNIST,20000,1,2,7,4.84E-04,0.9999
Fashion-MNIST,20000,1,2,8,1.64E-04,1
Fashion-MNIST,20000,1,2,9,2.67E-04,0.9999
Fashion-MNIST,20000,1,2,10,5.53E-05,1
Fashion-MNIST,20000,1,2,11,7.46E-05,1
Fashion-MNIST,20000,1,2,12,3.42E-05,1
Fashion-MNIST,20000,1,2,13,7.54E-04,0.9996
Fashion-MNIST,20000,1,2,14,3.02E-05,1
Fashion-MNIST,20000,1,2,15,7.45E-06,1
Fashion-MNIST,20000,1,2,16,9.23E-05,1
Fashion-MNIST,20000,1,2,17,3.73E-05,1
Fashion-MNIST,20000,1,2,18,2.97E-06,1
Fashion-MNIST,20000,1,2,19,2.50E-06,1
Fashion-MNIST,20000,1,2,20,4.38E-06,1
Fashion-MNIST,20000,1,2,21,7.21E-07,1
Fashion-MNIST,20000,1,2,22,1.33E-06,1
Fashion-MNIST,20000,1,2,23,1.02E-06,1
Fashion-MNIST,20000,1,2,24,5.78E-06,1
Fashion-MNIST,20000,1,2,25,1.59E-04,0.9999
Fashion-MNIST,20000,1,2,26,2.29E-06,1
Fashion-MNIST,20000,1,2,27,3.88E-08,1
Fashion-MNIST,20000,1,2,28,7.18E-08,1
Fashion-MNIST,20000,1,2,29,1.10E-06,1
Fashion-MNIST,20000,1,2,30,5.81E-07,1
Fashion-MNIST,20000,1,2,31,4.25E-05,1
Fashion-MNIST,20000,1,2,32,2.24E-08,1
Fashion-MNIST,20000,1,2,33,6.02E-09,1
Fashion-MNIST,20000,1,2,34,3.52E-05,1
Fashion-MNIST,20000,1,2,35,4.51E-05,1
